Area;ISO 3 code;Year;Area type;Continent;Ember region;EU;OECD;G20;G7;ASEAN;Category;Subcategory;Variable;Unit;Value;YoY absolute change;YoY % change
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Gas;TWh;9,76;0,17;1,77
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Hydro;TWh;0,02;-0,01;-33,33
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Nuclear;TWh;0;0;
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Fossil;TWh;2,83;-1,63;-36,55
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Renewables;TWh;0;0;
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Solar;TWh;0;0;
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Wind;TWh;5,56;0,68;13,93
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Total;Total Generation;TWh;45,97;6,87;17,57
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Clean;%;23,68;;
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Fossil;%;76,32;;
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Gas and Other Fossil;%;29,92;;
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Hydro, Bioenergy and Other Renewables;%;7,3;;
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Renewables;%;23,68;;
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Wind and Solar;%;16,38;;
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Clean;TWh;9,53;1,46;18,09
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Fossil;TWh;30,71;-7,19;-18,97
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Gas and Other Fossil;TWh;12,04;-0,55;-4,37
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Hydro, Bioenergy and Other Renewables;TWh;2,94;0,43;17,13
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Renewables;TWh;9,53;1,46;18,09
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Wind and Solar;TWh;6,59;1,03;18,53
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Bioenergy;%;7,23;;
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Coal;%;46,4;;
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Gas;%;24,7;;
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Hydro;%;0,07;;
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Nuclear;%;0;;
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Fossil;%;5,22;;
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Renewables;%;0;;
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Solar;%;0;;
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Wind;%;16,38;;
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Bioenergy;TWh;2,91;0,42;16,87
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Coal;TWh;18,67;-6,64;-26,23
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Gas;TWh;9,94;0,18;1,84
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Hydro;TWh;0,03;0,01;50
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Nuclear;TWh;0;0;
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Fossil;TWh;2,1;-0,73;-25,8
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Renewables;TWh;0;0;
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Solar;TWh;0;0;
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Wind;TWh;6,59;1,03;18,53
Denmark;DNK;2004;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Total;Total Generation;TWh;40,24;-5,73;-12,46
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Clean;%;27,17;;
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Fossil;%;72,83;;
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Gas and Other Fossil;%;29,98;;
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Hydro, Bioenergy and Other Renewables;%;8,85;;
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Renewables;%;27,17;;
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Wind and Solar;%;18,32;;
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Clean;TWh;9,8;0,27;2,83
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Fossil;TWh;26,28;-4,43;-14,43
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Gas and Other Fossil;TWh;10,82;-1,22;-10,13
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Hydro, Bioenergy and Other Renewables;TWh;3,19;0,25;8,5
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Renewables;TWh;9,8;0,27;2,83
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Wind and Solar;TWh;6,61;0,02;0,3
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Bioenergy;%;8,79;;
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Coal;%;42,85;;
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Gas;%;24,33;;
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Hydro;%;0,06;;
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Nuclear;%;0;;
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Fossil;%;5,65;;
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Renewables;%;0;;
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Solar;%;0;;
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Wind;%;18,32;;
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Bioenergy;TWh;3,17;0,26;8,93
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Coal;TWh;15,46;-3,21;-17,19
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Gas;TWh;8,78;-1,16;-11,67
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Hydro;TWh;0,02;-0,01;-33,33
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Nuclear;TWh;0;0;
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Fossil;TWh;2,04;-0,06;-2,86
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Renewables;TWh;0;0;
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Solar;TWh;0;0;
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Wind;TWh;6,61;0,02;0,3
Denmark;DNK;2005;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Total;Total Generation;TWh;36,08;-4,16;-10,34
Denmark;DNK;2006;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Clean;%;20,22;;
Denmark;DNK;2006;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Fossil;%;79,78;;
Denmark;DNK;2006;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Gas and Other Fossil;%;25,71;;
Denmark;DNK;2006;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Hydro, Bioenergy and Other Renewables;%;6,8;;
Denmark;DNK;2006;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Renewables;%;20,22;;
Denmark;DNK;2006;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Wind and Solar;%;13,42;;
Denmark;DNK;2006;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Clean;TWh;9,19;-0,61;-6,22
Denmark;DNK;2006;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Fossil;TWh;36,25;9,97;37,94
Denmark;DNK;2006;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Gas and Other Fossil;TWh;11,68;0,86;7,95
Denmark;DNK;2006;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Hydro, Bioenergy and Other Renewables;TWh;3,09;-0,1;-3,13
Denmark;DNK;2006;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Renewables;TWh;9,19;-0,61;-6,22
Denmark;DNK;2006;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Wind and Solar;TWh;6,1;-0,51;-7,72
Denmark;DNK;2006;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Bioenergy;%;6,76;;
Denmark;DNK;2006;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Coal;%;54,07;;
Denmark;DNK;2006;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Gas;%;20,69;;
Denmark;DNK;2006;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Hydro;%;0,04;;
