model,member,region,period_id,period,baseline_period,period_mean_jja_warming
ACCESS-ESM1-5,r24i1p1f1,WCE,P2,2041-2060,1995-2014,2.360651827120192
ACCESS-ESM1-5,r24i1p1f1,WCE,P3,2081-2100,1995-2014,5.249758925003055
ACCESS-ESM1-5,r25i1p1f1,MED,P1,2021-2040,1995-2014,1.5949045442432508
ACCESS-ESM1-5,r25i1p1f1,MED,P2,2041-2060,1995-2014,2.7611740298516123
ACCESS-ESM1-5,r25i1p1f1,MED,P3,2081-2100,1995-2014,4.783600145602616
ACCESS-ESM1-5,r25i1p1f1,NEU,P1,2021-2040,1995-2014,0.33431960203583155
ACCESS-ESM1-5,r25i1p1f1,NEU,P2,2041-2060,1995-2014,1.358862867659912
ACCESS-ESM1-5,r25i1p1f1,NEU,P3,2081-2100,1995-2014,3.9713519875625622
ACCESS-ESM1-5,r25i1p1f1,WCE,P1,2021-2040,1995-2014,2.126382057271516
ACCESS-ESM1-5,r25i1p1f1,WCE,P2,2041-2060,1995-2014,2.9124175404009165
ACCESS-ESM1-5,r25i1p1f1,WCE,P3,2081-2100,1995-2014,5.784105188753457
ACCESS-ESM1-5,r26i1p1f1,MED,P1,2021-2040,1995-2014,1.510142726320475
ACCESS-ESM1-5,r26i1p1f1,MED,P2,2041-2060,1995-2014,2.5684985935362183
ACCESS-ESM1-5,r26i1p1f1,MED,P3,2081-2100,1995-2014,4.931552172413378
ACCESS-ESM1-5,r26i1p1f1,NEU,P1,2021-2040,1995-2014,1.2220851598031441
ACCESS-ESM1-5,r26i1p1f1,NEU,P2,2041-2060,1995-2014,1.744387231359108
ACCESS-ESM1-5,r26i1p1f1,NEU,P3,2081-2100,1995-2014,4.146683324882863
ACCESS-ESM1-5,r26i1p1f1,WCE,P1,2021-2040,1995-2014,1.4482686045793227
ACCESS-ESM1-5,r26i1p1f1,WCE,P2,2041-2060,1995-2014,2.586382138366644
ACCESS-ESM1-5,r26i1p1f1,WCE,P3,2081-2100,1995-2014,5.956732673067661
ACCESS-ESM1-5,r27i1p1f1,MED,P1,2021-2040,1995-2014,1.6558762458666643
ACCESS-ESM1-5,r27i1p1f1,MED,P2,2041-2060,1995-2014,2.628329320443
ACCESS-ESM1-5,r27i1p1f1,MED,P3,2081-2100,1995-2014,4.630779905136369
ACCESS-ESM1-5,r27i1p1f1,NEU,P1,2021-2040,1995-2014,1.1176000917482252
ACCESS-ESM1-5,r27i1p1f1,NEU,P2,2041-2060,1995-2014,1.8956301186502338
ACCESS-ESM1-5,r27i1p1f1,NEU,P3,2081-2100,1995-2014,3.9396432749758303
ACCESS-ESM1-5,r27i1p1f1,WCE,P1,2021-2040,1995-2014,1.9589117919556096
ACCESS-ESM1-5,r27i1p1f1,WCE,P2,2041-2060,1995-2014,3.1756388423380377
ACCESS-ESM1-5,r27i1p1f1,WCE,P3,2081-2100,1995-2014,5.641799295592241
ACCESS-ESM1-5,r28i1p1f1,MED,P1,2021-2040,1995-2014,1.3319319487753942
ACCESS-ESM1-5,r28i1p1f1,MED,P2,2041-2060,1995-2014,2.5037300895103227
ACCESS-ESM1-5,r28i1p1f1,MED,P3,2081-2100,1995-2014,4.920220993644541
ACCESS-ESM1-5,r28i1p1f1,NEU,P1,2021-2040,1995-2014,0.26878670846302155
ACCESS-ESM1-5,r28i1p1f1,NEU,P2,2041-2060,1995-2014,1.3996238220614938
ACCESS-ESM1-5,r28i1p1f1,NEU,P3,2081-2100,1995-2014,3.691289240069893
ACCESS-ESM1-5,r28i1p1f1,WCE,P1,2021-2040,1995-2014,1.5694551373776524
ACCESS-ESM1-5,r28i1p1f1,WCE,P2,2041-2060,1995-2014,2.558572192889513
