,change_score_raw,change_score_smooth
1863-07-01,0.21869229,0.25668785
1863-10-01,0.2752595,0.25409734
1864-01-01,0.25800377,0.25595245
1864-04-01,0.22896685,0.2640098
1864-07-01,0.23485553,0.27869233
1864-10-01,0.21410543,0.2988876
1865-01-01,0.28259465,0.32203525
1865-04-01,0.39958048,0.34478474
1865-07-01,0.25564295,0.3636726
1865-10-01,0.3575443,0.37592155
1866-01-01,0.3743973,0.37987956
1866-04-01,0.24656288,0.3752774
1866-07-01,0.22922036,0.3631799
1866-10-01,0.35568368,0.34568232
1867-01-01,0.37632263,0.3255396
1867-04-01,0.23283046,0.3056267
1867-07-01,0.22174284,0.2883306
1867-10-01,0.2290171,0.27498558
1868-01-01,0.2188042,0.2654622
1868-04-01,0.31092125,0.25818238
1868-07-01,0.19917625,0.25043425
1868-10-01,0.37885472,0.23925439
1869-01-01,0.2735412,0.2225041
1869-04-01,0.3677549,0.19981274
1869-07-01,0.20655482,0.17313118
1869-10-01,0.25013795,0.14669427
1870-01-01,0.24857728,0.12624793
1870-04-01,0.16249508,0.1178837
1870-07-01,0.13246162,0.12656502
1870-10-01,0.17382024,0.15471166
1871-01-01,0.22476749,0.20130646
1871-04-01,0.22620255,0.26162654
1871-07-01,0.26266217,0.32781455
1871-10-01,0.29527873,0.39032418
1872-01-01,0.2978999,0.43993554
1872-04-01,0.5880802,0.4697962
1872-07-01,0.56450945,0.47686213
1872-10-01,0.3484292,0.4623576
1873-01-01,0.18854387,0.43097293
1873-04-01,0.16267551,0.38943
1873-07-01,0.18184364,0.34463125
1873-10-01,0.28966945,0.3025263
1874-01-01,0.40602112,0.2674608
1874-04-01,0.33288717,0.24225152
1874-07-01,0.25036559,0.22845826
1874-10-01,0.07273045,0.22643416
1875-01-01,0.12281895,0.23523048
1875-04-01,0.28062972,0.25248072
1875-07-01,0.33114684,0.27454552
1875-10-01,0.37350884,0.29705778
1876-01-01,0.31528276,0.31579602
1876-04-01,0.30008182,0.3274997
1876-07-01,0.26988086,0.3303739
1876-10-01,0.2928106,0.32435212
1877-01-01,0.28021556,0.31076604
1877-04-01,0.37111455,0.29194257
